Strategy,Success Rate (%),Per-Trade Return (%),Total Trades
RSI Strategy,34.61538461538461,-0.06777642089260982,26
MACD Strategy,37.66233766233766,0.9407348611934312,154
Supertrend Strategy,24.52361226180613,0.12422098878123201,1207
Neural Network Strategy,100.0,3.8203260357761324,2
